 481.72    -17.9180    1.87800   203   0.25685   23.291    -62.00     -2.036  
 489.44    -18.4080    1.90750   204   0.25960   23.292    -63.60     -2.035  
 497.10    -18.9010    1.93750   205   0.26239   23.292    -62.30     -2.034  
 504.98    -19.3920    1.96770   206   0.26519   23.292    -61.00     -2.032  
 513.62    -19.8840    1.99830   207   0.26801   23.293    -60.30     -2.030  
 521.22    -20.3770    2.02930   208   0.27085   23.293    -61.40     -2.029  
 529.51    -20.8700    2.06060   209   0.27371   23.294    -62.10     -2.027  
 537.42    -21.3640    2.09230   210   0.27659   23.294    -60.10     -2.026  
 545.65    -21.8570    2.12430   211   0.27949   23.294    -60.20     -2.025  
 554.13    -22.3520    2.15670   212   0.28241   23.295    -59.30     -2.024  
 562.24    -22.8460    2.18940   213   0.28534   23.295    -58.80     -2.023  
 570.84    -23.3400    2.22250   214   0.28830   23.295    -57.60     -2.022  
 579.43    -23.8340    2.25590   215   0.29127   23.296    -58.70     -2.021  
 587.97    -24.3290    2.28970   216   0.29426   23.296    -60.60     -2.019  
 595.60    -24.8250    2.32390   217   0.29727   23.297    -60.80     -2.018  
 604.20    -25.3210    2.35850   218   0.30031   23.297    -57.90     -2.017  
 612.80    -25.8170    2.39340   219   0.30336   23.297    -56.70     -2.015  
 621.92    -26.3130    2.42870   220   0.30643   23.298    -57.70     -2.014  
 629.90    -26.8100    2.46440   221   0.30952   23.298    -58.20     -2.014  
 638.77    -27.3070    2.50050   222   0.31263   23.298    -59.10     -2.012  
 647.25    -27.8030    2.53690   223   0.31576   23.299    -56.90     -2.011  
 655.72    -28.3000    2.57370   224   0.31890   23.299    -56.70     -2.010  
 665.14    -28.7990    2.61100   225   0.32208   23.299    -54.80     -2.009  
 673.73    -29.2970    2.64860   226   0.32527   23.300    -56.80     -2.007  
 682.94    -29.7950    2.68660   227   0.32848   23.300    -58.00     -2.006  
 690.81    -30.2930    2.72500   228   0.33171   23.301    -56.00     -2.005  
 700.40    -30.7930    2.76390   229   0.33497   23.301    -53.70     -2.003  
 709.90    -31.2920    2.80310   230   0.33824   23.301    -53.20     -2.002  
 719.17    -31.7910    2.84270   231   0.34153   23.302    -54.80     -2.001  
 727.86    -32.2920    2.88280   232   0.34484   23.302    -55.20     -2.001  
 737.48    -32.7910    2.92320   233   0.34817   23.302    -53.10     -2.000  
 746.60    -33.2920    2.96410   234   0.35153   23.303    -52.90     -1.999  
 756.54    -33.7920    3.00530   235   0.35489   23.303    -54.20     -1.998  
 765.18    -34.2920    3.04700   236   0.35829   23.304    -55.00     -1.997  
 774.58    -34.7930    3.08910   237   0.36170   23.304    -53.30     -1.996  
 783.98    -35.2950    3.13170   238   0.36514   23.304    -50.30     -1.994  
 794.58    -35.7960    3.17460   239   0.36859   23.305    -50.60     -1.993  
 804.09    -36.2980    3.21800   240   0.37206   23.305    -51.90     -1.992  
 813.56    -36.8010    3.26190   241   0.37557   23.305    -54.20     -1.992  
 823.09    -37.3020    3.30610   242   0.37908   23.306    -50.90     -1.991  
 832.58    -37.8050    3.35080   243   0.38262   23.306    -50.10     -1.990  
 843.00    -38.3070    3.39590   244   0.38617   23.307    -49.90     -1.989  
 852.66    -38.8100    3.44150   245   0.38975   23.307    -51.60     -1.988  
 863.03    -39.3130    3.48750   246   0.39335   23.307    -51.00     -1.987  
 872.64    -39.8170    3.53400   247   0.39697   23.308    -47.90     -1.986  
 883.85    -40.3210    3.58090   248   0.40061   23.308    -48.40     -1.985  
 893.89    -40.8250    3.62830   249   0.40428   23.308    -49.30     -1.984  
 903.95    -41.3290    3.67610   250   0.40796   23.309    -51.10     -1.983  
 913.80    -41.8330    3.72440   251   0.41167   23.309    -51.30     -1.983  
 923.86    -42.3370    3.77310   252   0.41539   23.310    -49.70     -1.982  
 933.76    -42.8430    3.82240   253   0.41915   23.310    -48.60     -1.981  
 945.00    -43.3470    3.87200   254   0.42291   23.310    -47.90     -1.980  
 954.94    -43.8530    3.92220   255   0.42670   23.311    -47.80     -1.979  
 965.70    -44.3580    3.97280   256   0.43051   23.311    -49.40     -1.979  
 976.09    -44.8630    4.02390   257   0.43435   23.311    -48.10     -1.978  
 986.09    -45.3690    4.07540   258   0.43819   23.312    -48.90     -1.977  
 997.31    -45.8750    4.12750   259   0.44207   23.312    -47.60     -1.976  
1007.20    -46.3810    4.18000   260   0.44597   23.313    -48.30     -1.976  
